SPECIES,SOURCE,SECTOR,SOURCESECTORS
SO2,EDGAR,PO,1A1a_6C
SO2,EDGAR,IN,"1A2, 2C, 1B1_1B2_1A1b_c, 2B_2D"
SO2,EDGAR,RE,1A4
SO2,EDGAR,TR,1A3b
,,,
SO2,EMEP,PO,S1
SO2,EMEP,IN,"S3, S4, S5, S6"
SO2,EMEP,RE,"S2, S9"
SO2,EMEP,TR,"S7, S8"
,,,
SO2,MEIC,PO,power
SO2,MEIC,IN,industry
SO2,MEIC,RE,residential
SO2,MEIC,TR,transportation
,,,
SO2,INTEX-B,PO,power
SO2,INTEX-B,IN,industry
SO2,INTEX-B,RE,residential
SO2,INTEX-B,TR,transportation
,,,
SO2,MICS_Asia,PO,POWER
SO2,MICS_Asia,IN,INDUSTRY
SO2,MICS_Asia,RE,RESIDENTIAL
SO2,MICS_Asia,TR,TRANSPORT
,,,
NOx,EDGAR,PO,1A1a
NOx,EDGAR,IN,"1A2,1B2a_c_1A1b_c,2"
NOx,EDGAR,RE,"1A4, 6A_6C"
NOx,EDGAR,TR,1A3b
,,,
NOx,EMEP,PO,S1
NOx,EMEP,IN,"S3, S4, S5, S6"
NOx,EMEP,RE,"S2, S9"
NOx,EMEP,TR,"S7, S8"
,,,
NOx,MEIC,PO,power
NOx,MEIC,IN,industry
NOx,MEIC,RE,residential
NOx,MEIC,TR,transportation
,,,
NOx,INTEX-B,PO,power
NOx,INTEX-B,IN,industry
NOx,INTEX-B,RE,residential
NOx,INTEX-B,TR,transportation
,,,
NOx,MICS_Asia,PO,POWER
NOx,MICS_Asia,IN,INDUSTRY
NOx,MICS_Asia,RE,RESIDENTIAL
NOx,MICS_Asia,TR,TRANSPORT
,,,
CO,EDGAR,PO,1A1a_6
CO,EDGAR,IN,"1A2, 2C, 1B2a_c_1A1b_c, 2A_2B_2D"
CO,EDGAR,RE,1A4
CO,EDGAR,TR,1A3b
,,,
CO,EMEP,PO,S1
CO,EMEP,IN,"S3, S4, S5, S6"
CO,EMEP,RE,"S2, S9"
CO,EMEP,TR,"S7, S8"
,,,
CO,MEIC,PO,power
CO,MEIC,IN,industry
CO,MEIC,RE,residential
CO,MEIC,TR,transportation
,,,
CO,INTEX-B,PO,power
CO,INTEX-B,IN,industry
CO,INTEX-B,RE,residential
CO,INTEX-B,TR,transportation
,,,
CO,MICS_Asia,PO,POWER
CO,MICS_Asia,IN,INDUSTRY
CO,MICS_Asia,RE,RESIDENTIAL
CO,MICS_Asia,TR,TRANSPORT
,,,
NMVOC,EDGAR,PO,1A1a
NMVOC,EDGAR,IN,"1A2, 1A1b_c_1B_2C1_2C2, 2A_B_D_E_F_G, 3"
NMVOC,EDGAR,RE,"1A4, 6A_6C"
NMVOC,EDGAR,TR,1A3b
,,,
NMVOC,EMEP,PO,S1
NMVOC,EMEP,IN,"S3, S4, S5, S6"
NMVOC,EMEP,RE,"S2, S9"
NMVOC,EMEP,TR,"S7, S8"
,,,
NMVOC,MEIC,PO,power
NMVOC,MEIC,IN,industry
NMVOC,MEIC,RE,residential
NMVOC,MEIC,TR,transportation
,,,
NMVOC,INTEX-B,PO,power
NMVOC,INTEX-B,IN,industry
NMVOC,INTEX-B,RE,residential
NMVOC,INTEX-B,TR,transportation
,,,
ACET,MICS_Asia,PO,POWER
ACET,MICS_Asia,IN,INDUSTRY
ACET,MICS_Asia,RE,RESIDENTIAL
ACET,MICS_Asia,TR,TRANSPORT
,,,
ALD2,MICS_Asia,PO,POWER
ALD2,MICS_Asia,IN,INDUSTRY
ALD2,MICS_Asia,RE,RESIDENTIAL
ALD2,MICS_Asia,TR,TRANSPORT
,,,
ALK4,MICS_Asia,PO,POWER
ALK4,MICS_Asia,IN,INDUSTRY
ALK4,MICS_Asia,RE,RESIDENTIAL
ALK4,MICS_Asia,TR,TRANSPORT
,,,
C2H6,MICS_Asia,PO,POWER
C2H6,MICS_Asia,IN,INDUSTRY
C2H6,MICS_Asia,RE,RESIDENTIAL
C2H6,MICS_Asia,TR,TRANSPORT
,,,
C3H8,MICS_Asia,PO,POWER
C3H8,MICS_Asia,IN,INDUSTRY
C3H8,MICS_Asia,RE,RESIDENTIAL
C3H8,MICS_Asia,TR,TRANSPORT
,,,
CH2O,MICS_Asia,PO,POWER
CH2O,MICS_Asia,IN,INDUSTRY
CH2O,MICS_Asia,RE,RESIDENTIAL
CH2O,MICS_Asia,TR,TRANSPORT
,,,
MEK,MICS_Asia,PO,POWER
MEK,MICS_Asia,IN,INDUSTRY
MEK,MICS_Asia,RE,RESIDENTIAL
MEK,MICS_Asia,TR,TRANSPORT
,,,
PRPE,MICS_Asia,PO,POWER
PRPE,MICS_Asia,IN,INDUSTRY
PRPE,MICS_Asia,RE,RESIDENTIAL
PRPE,MICS_Asia,TR,TRANSPORT
