SOURCE,SECTOR,__DES,ACET,ALD2,ALK4,C2H6,C3H8,CH2O,MEK,PRPE
EDGAR,1A1a,Energy industry,0.0001849,0.0000443,0.0025457,0.0006497,0.0009686,0.0009356,0.0000149,0.001256
EDGAR,1A2,Combustion in manufacturing industry,0.0001778,0.0000342,0.0042697,0.0009476,0.0013028,0.0002058,0.0000665,0.0018303
EDGAR,1A3a_c_d_e,Non-road transportation,0.0000929,0.0003061,0.0032974,0.0005976,0.0011293,0.000801,0.0000254,0.003045
EDGAR,1A3b,Road transportation,0.0000929,0.0003061,0.0032974,0.0005976,0.0011293,0.000801,0.0000254,0.003045
EDGAR,1A4,Residential,0.0004206,0.0002263,0.0019062,0.0009512,0.0019266,0.0006223,0.0000578,0.0017488
EDGAR,4F,Agricultural waste burning,0.0004206,0.0002263,0.0019062,0.0009512,0.0019266,0.0006223,0.0000578,0.0017488
EDGAR,5A_C_D_F_4E,Large scale biomass burning,0.0004206,0.0002263,0.0019062,0.0009512,0.0019266,0.0006223,0.0000578,0.0017488
EDGAR,6A_6C,Solid waste disposal,0.0004206,0.0002263,0.0019062,0.0009512,0.0019266,0.0006223,0.0000578,0.0017488
EDGAR,7A,Fossil fuel fires,0.0004206,0.0002263,0.0019062,0.0009512,0.0019266,0.0006223,0.0000578,0.0017488
EDGAR,1A1b_c_1B_2C1_2C2,Transformation fossil fuel production refineries steel,0.0001778,0.0000342,0.0042697,0.0009476,0.0013028,0.0002058,0.0000665,0.0018303
EDGAR,2A_B_D_E_F_G,Non-metallic paper chemical food industry,0.0001778,0.0000342,0.0042697,0.0009476,0.0013028,0.0002058,0.0000665,0.0018303
EDGAR,3,Solvents procudtion and application,0.0001778,0.0000342,0.0042697,0.0009476,0.0013028,0.0002058,0.0000665,0.0018303
,,,,,,,,,,
EMEP,S1,Combustion in energy and transformation industries,0.0001849,0.0000443,0.0025457,0.0006497,0.0009686,0.0009356,0.0000149,0.001256
EMEP,S2,Non-industrial combustion plants,0.0004206,0.0002263,0.0019062,0.0009512,0.0019266,0.0006223,0.0000578,0.0017488
EMEP,S3,Combustion in manufacturing industry,0.0001778,0.0000342,0.0042697,0.0009476,0.0013028,0.0002058,0.0000665,0.0018303
EMEP,S4,Production processes,0.0001778,0.0000342,0.0042697,0.0009476,0.0013028,0.0002058,0.0000665,0.0018303
EMEP,S5,Extraction and distribution of fossil fuels and geothermal energy,0.0001778,0.0000342,0.0042697,0.0009476,0.0013028,0.0002058,0.0000665,0.0018303
EMEP,S6,Solvent use and other product use,0.0001778,0.0000342,0.0042697,0.0009476,0.0013028,0.0002058,0.0000665,0.0018303
EMEP,S7,Road transport,0.0000929,0.0003061,0.0032974,0.0005976,0.0011293,0.000801,0.0000254,0.003045
EMEP,S8,Other mobile sources and machinery,0.0000929,0.0003061,0.0032974,0.0005976,0.0011293,0.000801,0.0000254,0.003045
EMEP,S9,Waste treatment and disposal,0.0004206,0.0002263,0.0019062,0.0009512,0.0019266,0.0006223,0.0000578,0.0017488
EMEP,S10,Agriculture,0.0004206,0.0002263,0.0019062,0.0009512,0.0019266,0.0006223,0.0000578,0.0017488
EMEP,S11,Other sources and sinks,0.0004206,0.0002263,0.0019062,0.0009512,0.0019266,0.0006223,0.0000578,0.0017488
