SOURCE,SPECIES,SECTOR,1,2,3,4,5,6,7,8,9,10,11,12
EDGAR,SO2,1A1a_6C,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,SO2,1A2,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,SO2,2C,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,SO2,1B1_1B2_1A1b_c,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,SO2,2B_2D,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,SO2,1A4,0.158971354,0.116202288,0.098136519,0.060528222,0.059114112,0.05758734,0.059197089,0.059340698,0.057934263,0.061991033,0.086415342,0.12458174
EDGAR,SO2,1A3a_c_d_e,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,SO2,1A3b,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,SO2,4F,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,SO2,S1,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,SO2,S2,0.158971354,0.116202288,0.098136519,0.060528222,0.059114112,0.05758734,0.059197089,0.059340698,0.057934263,0.061991033,0.086415342,0.12458174
EMEP,SO2,S3,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,SO2,S4,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,SO2,S5,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,SO2,S6,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,SO2,S7,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,SO2,S8,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,SO2,S9,0.158971354,0.116202288,0.098136519,0.060528222,0.059114112,0.05758734,0.059197089,0.059340698,0.057934263,0.061991033,0.086415342,0.12458174
EMEP,SO2,S10,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,SO2,S11,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,SO2,power,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,SO2,industry,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,SO2,residential,0.158971354,0.116202288,0.098136519,0.060528222,0.059114112,0.05758734,0.059197089,0.059340698,0.057934263,0.061991033,0.086415342,0.12458174
INTEX-B,SO2,transportation,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
NEI,SO2,ANTHSRCE,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
NEI,SO4,ANTHSRCE,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NOx,1A1a,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NOx,1A2,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NOx,1B2a_c_1A1b_c,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NOx,2,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NOx,1A4,0.118559187,0.099906076,0.090769591,0.072138432,0.071475721,0.069233146,0.071654173,0.072047588,0.070021623,0.074171037,0.085774124,0.104249303
EDGAR,NOx,6A_6C,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NOx,1A3a_c_d_e ,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NOx,1A3b,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NOx,4F,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NOx,4B,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NOx,4C_4D,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NOx,S1,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NOx,S2,0.118559187,0.099906076,0.090769591,0.072138432,0.071475721,0.069233146,0.071654173,0.072047588,0.070021623,0.074171037,0.085774124,0.104249303
EMEP,NOx,S3,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
