SPECIES,SOURCE,SECTOR,SOURCESECTORS
SO2,EDGAR,Anthropogenic,"1A1a_6C, 1A2, 2C, 1B1_1B2_1A1b_c, 2B_2D, 1A4, 1A3b "
SO2,EMEP,Anthropogenic,"S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11"
SO2,MEIC,Anthropogenic,"power,residential, transportation, industry"
SO2,INTEX-B,Anthropogenic,"power,residential, transportation, industry"
SO2,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
SO2,NEI,Anthropogenic,ANTHSRCE
NOx,EDGAR,Anthropogenic,"1A1a,1A2,1B2a_c_1A1b_c,2,1A4, 6A_6C,1A3b, 4B, 4C_4D"
NOx,EMEP,Anthropogenic,"S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11"
NOx,MEIC,Anthropogenic,"power,residential, transportation, industry"
NOx,INTEX-B,Anthropogenic,"power,residential, transportation, industry"
NOx,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
NOx,NEI,Anthropogenic,ANTHSRCE
CO,EDGAR,Anthropogenic,"1A1a_6,1A2, 2C, 1B2a_c_1A1b_c, 2A_2B_2D,1A4,1A3b "
CO,EMEP,Anthropogenic,"S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11"
CO,MEIC,Anthropogenic,"power,residential, transportation, industry"
CO,INTEX-B,Anthropogenic,"power,residential, transportation, industry"
CO,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
CO,NEI,Anthropogenic,ANTHSRCE
NMVOC,EDGAR,Anthropogenic,"1A1a,1A2, 1A1b_c_1B_2C1_2C2, 2A_B_D_E_F_G, 3, 1A4, 6A_6C,1A3b"
NMVOC,EMEP,Anthropogenic,"S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11"
NMVOC,MEIC,Anthropogenic,"power,residential, transportation, industry"
NMVOC,INTEX-B,Anthropogenic,"power,residential, transportation, industry"
NMVOC,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
NMVOC,NEI,Anthropogenic,ANTHSRCE
NH3,EDGAR,Anthropogenic,"1A2,1A4, 4B, 4C_4D,1A1a_6, 1A1b_c,1A3, 2A,2B  "
NH3,EMEP,Anthropogenic,"S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11"
NH3,MEIC,Anthropogenic,"power,residential, transportation, industry, agriculture"
NH3,INTEX-B,Anthropogenic,"power,residential, transportation, industry, agriculture"
NH3,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY, AGRICULTURE"
NH3,NEI,Anthropogenic,ANTHSRCE
OC,TBond,Anthropogenic,"biofuel, fossil"
OC,SFactor_TBond,Anthropogenic,"biofuel, fossil"
OC,MEIC,Anthropogenic,"power,residential, transportation, industry"
OC,INTEX-B,Anthropogenic,"power,residential, transportation, industry"
OC,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
BC,TBond,Anthropogenic,"biofuel, fossil"
BC,SFactor_TBond,Anthropogenic,"biofuel, fossil"
BC,MEIC,Anthropogenic,"power,residential, transportation, industry"
BC,INTEX-B,Anthropogenic,"power,residential, transportation, industry"
BC,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
ACET,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
ALD2,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
ALK4,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
C2H6,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
C3H8,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
CH2O,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
MEK,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
PRPE,MICS_Asia,Anthropogenic,"POWER,RESIDENTIAL, TRANSPORT, INDUSTRY"
