SOURCE,SPECIES,SECTOR,GRID,PARAMS
EDGAR,CO,A,SIMPLE,0.25
EDGAR,CO,B,SIMPLE,0.25
EDGAR,CO,C,SIMPLE,0.25
EDGAR,CO,D,SIMPLE,0.25
EDGAR,NH3,A,SIMPLE,0.25
EDGAR,NH3,B,SIMPLE,0.25
EDGAR,NH3,C,SIMPLE,0.25
EDGAR,NH3,D,SIMPLE,0.25
EDGAR,NMVOC,A,SIMPLE,0.25
EDGAR,NMVOC,B,SIMPLE,0.25
EDGAR,NMVOC,C,SIMPLE,0.25
EDGAR,NMVOC,D,SIMPLE,0.25
EDGAR,NOx,A,SIMPLE,0.25
EDGAR,NOx,B,SIMPLE,0.25
EDGAR,NOx,C,SIMPLE,0.25
EDGAR,NOx,D,SIMPLE,0.25
EDGAR,PM10,A,SIMPLE,0.25
EDGAR,PM10,B,SIMPLE,0.25
EDGAR,PM10,C,SIMPLE,0.25
EDGAR,PM10,D,SIMPLE,0.25
EDGAR,SO2,A,SIMPLE,0.25
EDGAR,SO2,B,SIMPLE,0.25
EDGAR,SO2,C,SIMPLE,0.25
EDGAR,SO2,D,SIMPLE,0.25
EMEP,CO,S1,SIMPLE,1.5
EMEP,CO,S2,SIMPLE,1.5
EMEP,CO,S3,SIMPLE,1.5
EMEP,CO,S4,SIMPLE,1.5
EMEP,CO,S5,SIMPLE,1.5
EMEP,CO,S6,SIMPLE,1.5
EMEP,CO,S7,SIMPLE,1.5
EMEP,CO,S8,SIMPLE,1.5
EMEP,NH3,S1,SIMPLE,1.5
EMEP,NH3,S2,SIMPLE,1.5
EMEP,NH3,S3,SIMPLE,1.5
EMEP,NH3,S4,SIMPLE,1.5
EMEP,NH3,S5,SIMPLE,1.5
EMEP,NH3,S6,SIMPLE,1.5
EMEP,NH3,S7,SIMPLE,1.5
EMEP,NH3,S8,SIMPLE,1.5
EMEP,NMVOC,S1,SIMPLE,1.5
EMEP,NMVOC,S2,SIMPLE,1.5
EMEP,NMVOC,S3,SIMPLE,1.5
EMEP,NMVOC,S4,SIMPLE,1.5
EMEP,NMVOC,S5,SIMPLE,1.5
EMEP,NMVOC,S6,SIMPLE,1.5
EMEP,NMVOC,S7,SIMPLE,1.5
EMEP,NMVOC,S8,SIMPLE,1.5
EMEP,NOx,S1,SIMPLE,1.5
EMEP,NOx,S2,SIMPLE,1.5
EMEP,NOx,S3,SIMPLE,1.5
EMEP,NOx,S4,SIMPLE,1.5
EMEP,NOx,S5,SIMPLE,1.5
EMEP,NOx,S6,SIMPLE,1.5
EMEP,NOx,S7,SIMPLE,1.5
EMEP,NOx,S8,SIMPLE,1.5
EMEP,PM10,S1,SIMPLE,1.5
EMEP,PM10,S2,SIMPLE,1.5
EMEP,PM10,S3,SIMPLE,1.5
EMEP,PM10,S4,SIMPLE,1.5
EMEP,PM10,S5,SIMPLE,1.5
EMEP,PM10,S6,SIMPLE,1.5
EMEP,PM10,S7,SIMPLE,1.5
EMEP,PM10,S8,SIMPLE,1.5
EMEP,SO2,S1,SIMPLE,1.5
EMEP,SO2,S2,SIMPLE,1.5
EMEP,SO2,S3,SIMPLE,1.5
EMEP,SO2,S4,SIMPLE,1.5
EMEP,SO2,S5,SIMPLE,1.5
EMEP,SO2,S6,SIMPLE,1.5
EMEP,SO2,S7,SIMPLE,1.5
EMEP,SO2,S8,SIMPLE,1.5
MEIC,CO,M1,SIMPLE,0.25
MEIC,CO,M2,SIMPLE,0.25
MEIC,CO,M3,SIMPLE,0.25
MEIC,CO,M4,SIMPLE,0.25
MEIC,NH3,M1,SIMPLE,0.25
MEIC,NH3,M2,SIMPLE,0.25
MEIC,NH3,M3,SIMPLE,0.25
MEIC,NH3,M4,SIMPLE,0.25
MEIC,NMVOC,M1,SIMPLE,0.25
MEIC,NMVOC,M2,SIMPLE,0.25
MEIC,NMVOC,M3,SIMPLE,0.25
MEIC,NMVOC,M4,SIMPLE,0.25
MEIC,NOx,M1,SIMPLE,0.25
MEIC,NOx,M2,SIMPLE,0.25
MEIC,NOx,M3,SIMPLE,0.25
MEIC,NOx,M4,SIMPLE,0.25
MEIC,PM10,M1,SIMPLE,0.25
MEIC,PM10,M2,SIMPLE,0.25
MEIC,PM10,M3,SIMPLE,0.25
MEIC,PM10,M4,SIMPLE,0.25
MEIC,SO2,M1,SIMPLE,0.25
MEIC,SO2,M2,SIMPLE,0.25
MEIC,SO2,M3,SIMPLE,0.25
MEIC,SO2,M4,SIMPLE,0.25
