SPECIES,SOURCE,SECTOR,SOURCESECTORS
NH3,EDGAR,Power,1A1a_6
NH3,EDGAR,Industry,"1A2, 1A1b_c, 2A, 2B"
NH3,EDGAR,Residential,1A4
NH3,EDGAR,Transporation,1A3
NH3,EDGAR,Agriculture,"4B, 4C_4D"
,,,
NH3,EMEP,Power,S1
NH3,EMEP,Industry,"S3, S4, S5, S6"
NH3,EMEP,Residential,S2
NH3,EMEP,Transporation,"S7, S8"
NH3,EMEP,Agriculture,S10
,,,
NH3,MEIC,Power,M1
NH3,MEIC,Industry,M2
NH3,MEIC,Residential,M3
NH3,MEIC,Transporation,M4
NH3,MEIC,Agriculture,M5
,,,
PM10,EDGAR,Power,1A1a
PM10,EDGAR,Industry,"1A2, 1B2a_c_1A1b_c, 2_3"
PM10,EDGAR,Residential,1A4
PM10,EDGAR,Transporation,"1A3a_c_d_e, 1A3b"
PM10,EDGAR,Agriculture,
,,,
PM10,EMEP,Power,S1
PM10,EMEP,Industry,"S3, S4, S5, S6"
PM10,EMEP,Residential,S2
PM10,EMEP,Transporation,"S7, S8"
PM10,EMEP,Agriculture,
,,,
PM10,MEIC,Power,M1
PM10,MEIC,Industry,M2
PM10,MEIC,Residential,M3
PM10,MEIC,Transporation,M4
PM10,MEIC,Agriculture,
,,,
SO2,EDGAR,Power,1A1a_6C
SO2,EDGAR,Industry,"1A2, 2C, 1B1_1B2_1A1b_c, 2B_2D"
SO2,EDGAR,Residential,1A4
SO2,EDGAR,Transporation,"1A3a_c_d_e, 1A3b"
SO2,EDGAR,Agriculture,
,,,
SO2,EMEP,Power,S1
SO2,EMEP,Industry,"S3, S4, S5, S6"
SO2,EMEP,Residential,S2
SO2,EMEP,Transporation,"S7, S8"
SO2,EMEP,Agriculture,
,,,
SO2,MEIC,Power,M1
SO2,MEIC,Industry,M2
SO2,MEIC,Residential,M3
SO2,MEIC,Transporation,M4
SO2,MEIC,Agriculture,
