SPECIES,SOURCE,SECTOR,SOURCESECTORS
NH3,EDGAR,PO,1A1a_6
NH3,EDGAR,IN,"1A2, 1A1b_c, 2A, 2B"
NH3,EDGAR,RE,1A4
NH3,EDGAR,TR,1A3
NH3,EDGAR,AG,"4B, 4C_4D, 4F"
,,,
NH3,EMEP,PO,S1
NH3,EMEP,IN,"S3, S4, S5, S6"
NH3,EMEP,RE,"S2, S9"
NH3,EMEP,TR,"S7, S8"
NH3,EMEP,AG,S10
,,,
NH3,MEIC,PO,power
NH3,MEIC,IN,industry
NH3,MEIC,RE,residential
NH3,MEIC,TR,transportation
NH3,MEIC,AG,agriculture
,,,
NMVOC,EDGAR,PO,1A1a
NMVOC,EDGAR,IN,"1A2, 1A1b_c_1B_2C1_2C2, 2A_B_D_E_F_G, 3"
NMVOC,EDGAR,RE,"1A4, 6A_6C"
NMVOC,EDGAR,TR,"1A3a_c_d_e, 1A3b"
NMVOC,EDGAR,AG,4F
,,,
NMVOC,EMEP,PO,S1
NMVOC,EMEP,IN,"S3, S4, S5, S6"
NMVOC,EMEP,RE,"S2, S9"
NMVOC,EMEP,TR,"S7, S8"
NMVOC,EMEP,AG,S10
,,,
NMVOC,MEIC,PO,power
NMVOC,MEIC,IN,industry
NMVOC,MEIC,RE,residential
NMVOC,MEIC,TR,transportation
NMVOC,MEIC,AG,agriculture
