SOURCE,SPECIES,SECTOR,1,2,3,4,5,6,7,8,9,10,11,12
EDGAR,SO2,1A2,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
EDGAR,SO2,1A3a_c_d_e,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
EDGAR,SO2,1A3b,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
EDGAR,SO2,1A4,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
EDGAR,SO2,4F,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
EDGAR,SO2,5A_C_D_F_4E,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
EDGAR,SO2,7A,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
EDGAR,SO2,2C,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
EDGAR,SO2,1A1a_6C,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
EDGAR,SO2,1B1_1B2_1A1b_c,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
EDGAR,SO2,2B_2D,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
EMEP,SO2,S1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
EMEP,SO2,S2,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
EMEP,SO2,S3,0.10,0.10,0.08,0.08,0.06,0.08,0.10,0.10,0.08,0.08,0.08,0.10
EMEP,SO2,S4,0.10,0.10,0.07,0.07,0.04,0.07,0.10,0.10,0.07,0.07,0.07,0.10
EMEP,SO2,S5,0.11,0.11,0.07,0.07,0.03,0.07,0.11,0.11,0.07,0.07,0.07,0.11
EMEP,SO2,S6,0.12,0.12,0.07,0.07,0.02,0.07,0.12,0.12,0.07,0.07,0.07,0.12
EMEP,SO2,S7,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
EMEP,SO2,S8,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
EMEP,SO2,S9,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
EMEP,SO2,S10,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
EMEP,SO2,S11,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
MEIC,SO2,Power,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
MEIC,SO2,Industry,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
MEIC,SO2,Residential,0.09,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09
MEIC,SO2,Transporation,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
